file,online_backend,offline_backend,update_index,stream_position,component,prefix_position,event_id,activity,event_object_count,component_object_count,component_event_count,merged,wall_seconds,feasible,cost,control_flow_cost,data_cost,object_cost,encode_seconds,solve_seconds,certification_route,experiment,combo,repetition,partial
04_violate_product_cost_sum.jsonocel,symbolic,smt,1,1,1,1,0,place order,3,3,1,False,0.19209000002592802,True,0,0,0,0,0.04325719992630184,0.0014433999313041568,direct,object_attributes_online,symbolic_smt,1,
04_violate_product_cost_sum.jsonocel,symbolic,smt,2,2,1,2,1,pick item,2,3,2,False,0.07986359996721148,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
04_violate_product_cost_sum.jsonocel,symbolic,smt,3,3,1,3,2,pick item,2,3,3,False,0.041941599920392036,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
04_violate_product_cost_sum.jsonocel,symbolic,smt,4,4,1,4,3,pay bank transfer,3,3,4,False,0.3768635999877006,True,1,0,1,0,0.03943700005766004,0.003089900012128055,full_exact,object_attributes_online,symbolic_smt,1,
04_violate_product_cost_sum.jsonocel,symbolic,smt,5,5,1,5,4,ship,3,3,5,False,0.4027343000052497,True,1,0,1,0,0.05617480003274977,0.0016910999547690153,direct,object_attributes_online,symbolic_smt,1,
05_fit_credit_card_despite_high_product_cost.jsonocel,symbolic,smt,1,1,1,1,0,place order,3,3,1,False,0.1846216000849381,True,0,0,0,0,0.044697499950416386,0.001244699931703508,direct,object_attributes_online,symbolic_smt,1,
05_fit_credit_card_despite_high_product_cost.jsonocel,symbolic,smt,2,2,1,2,1,pick item,2,3,2,False,0.08358980005141348,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
05_fit_credit_card_despite_high_product_cost.jsonocel,symbolic,smt,3,3,1,3,2,pick item,2,3,3,False,0.04085850005503744,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
05_fit_credit_card_despite_high_product_cost.jsonocel,symbolic,smt,4,4,1,4,3,pay credit card,1,3,4,False,0.05565230001229793,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
05_fit_credit_card_despite_high_product_cost.jsonocel,symbolic,smt,5,5,1,5,4,ship,3,3,5,False,0.3971902000484988,True,0,0,0,0,0.03745629999320954,0.0011622000019997358,direct,object_attributes_online,symbolic_smt,1,
06_violate_event_and_object_data.jsonocel,symbolic,smt,1,1,1,1,0,place order,3,3,1,False,0.2004315999802202,True,0,0,0,0,0.04457829997409135,0.0012280000373721123,direct,object_attributes_online,symbolic_smt,1,
06_violate_event_and_object_data.jsonocel,symbolic,smt,2,2,1,2,1,pick item,2,3,2,False,0.07844479999039322,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
06_violate_event_and_object_data.jsonocel,symbolic,smt,3,3,1,3,2,pick item,2,3,3,False,0.0411722999997437,True,0,0,0,0,0.0,0.0,direct,object_attributes_online,symbolic_smt,1,
06_violate_event_and_object_data.jsonocel,symbolic,smt,4,4,1,4,3,pay bank transfer,3,3,4,False,0.3734853999922052,True,0,0,0,0,0.037852799985557795,0.0015284999972209334,direct,object_attributes_online,symbolic_smt,1,
06_violate_event_and_object_data.jsonocel,symbolic,smt,5,5,1,5,4,ship,3,3,5,False,4.358614300028421,True,2,0,2,0,0.01975289999973029,0.019747600075788796,checkpoint_exact,object_attributes_online,symbolic_smt,1,
07_violate_place_event_and_object_guard.jsonocel,symbolic,smt,1,1,1,1,0,place order,3,3,1,False,0.4662880999967456,True,2,0,2,0,0.003456900012679398,0.0034542999928817153,full_exact,object_attributes_online,symbolic_smt,1,
