experiment,combo,file,product_count,update_index,activity,merged,component_object_count,event_object_count,wall_seconds_n,wall_seconds_min,wall_seconds_max,wall_seconds_mean,wall_seconds_median,wall_seconds_stdev,wall_seconds_q1,wall_seconds_q3
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,16,pick item,False,3,2,1,0.49640480000002185,0.49640480000002185,0.49640480000002185,0.49640480000002185,0.0,0.49640480000002185,0.49640480000002185
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,17,pick item,False,3,2,1,0.5454687999999805,0.5454687999999805,0.5454687999999805,0.5454687999999805,0.0,0.5454687999999805,0.5454687999999805
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,18,pick item,False,3,2,1,0.5027402999999993,0.5027402999999993,0.5027402999999993,0.5027402999999993,0.0,0.5027402999999993,0.5027402999999993
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,19,pick item,False,3,2,1,0.6491067000000044,0.6491067000000044,0.6491067000000044,0.6491067000000044,0.0,0.6491067000000044,0.6491067000000044
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,20,pick item,False,3,2,1,0.5197933999999975,0.5197933999999975,0.5197933999999975,0.5197933999999975,0.0,0.5197933999999975,0.5197933999999975
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,21,pick item,False,3,2,1,0.5514821000000154,0.5514821000000154,0.5514821000000154,0.5514821000000154,0.0,0.5514821000000154,0.5514821000000154
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,22,pick item,False,3,2,1,0.542341499999992,0.542341499999992,0.542341499999992,0.542341499999992,0.0,0.542341499999992,0.542341499999992
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,23,pick item,False,3,2,1,0.6526238000000149,0.6526238000000149,0.6526238000000149,0.6526238000000149,0.0,0.6526238000000149,0.6526238000000149
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,24,pick item,False,3,2,1,0.6038508000000036,0.6038508000000036,0.6038508000000036,0.6038508000000036,0.0,0.6038508000000036,0.6038508000000036
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,25,pick item,False,3,2,1,0.6240865000000042,0.6240865000000042,0.6240865000000042,0.6240865000000042,0.0,0.6240865000000042,0.6240865000000042
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,26,pick item,False,3,2,1,0.5102701000000138,0.5102701000000138,0.5102701000000138,0.5102701000000138,0.0,0.5102701000000138,0.5102701000000138
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,27,pick item,False,3,2,1,0.46047830000000545,0.46047830000000545,0.46047830000000545,0.46047830000000545,0.0,0.46047830000000545,0.46047830000000545
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,28,pick item,False,3,2,1,0.5635896999999943,0.5635896999999943,0.5635896999999943,0.5635896999999943,0.0,0.5635896999999943,0.5635896999999943
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,29,pick item,False,3,2,1,0.5975527000000227,0.5975527000000227,0.5975527000000227,0.5975527000000227,0.0,0.5975527000000227,0.5975527000000227
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,30,pick item,False,3,2,1,0.5162371000000121,0.5162371000000121,0.5162371000000121,0.5162371000000121,0.0,0.5162371000000121,0.5162371000000121
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,31,pay bank transfer,False,3,3,1,0.4713775999999825,0.4713775999999825,0.4713775999999825,0.4713775999999825,0.0,0.4713775999999825,0.4713775999999825
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,32,pay bank transfer,False,3,3,1,0.5686627000000044,0.5686627000000044,0.5686627000000044,0.5686627000000044,0.0,0.5686627000000044,0.5686627000000044
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,33,pay bank transfer,False,3,3,1,0.4743811999999821,0.4743811999999821,0.4743811999999821,0.4743811999999821,0.0,0.4743811999999821,0.4743811999999821
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,34,pay bank transfer,False,3,3,1,0.483987500000012,0.483987500000012,0.483987500000012,0.483987500000012,0.0,0.483987500000012,0.483987500000012
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,35,pay bank transfer,False,3,3,1,0.5354324999999847,0.5354324999999847,0.5354324999999847,0.5354324999999847,0.0,0.5354324999999847,0.5354324999999847
component_scale_online,smt_smt,orders_10_interleaved.jsonocel,,36,pay bank transfer,False,3,3,1,0.5152685999999846,0.5152685999999846,0.5152685999999846,0.5152685999999846,0.0,0.5152685999999846,0.5152685999999846
