file,result_file,returncode,online_status,offline_status,offline_semantics,native_crash_retry_count,native_crash_attempts,prefix_feasible,prefix_total,prefix_control_flow,prefix_data,prefix_object,prefix_encode_seconds,prefix_solve_seconds,offline_feasible,offline_total,offline_control_flow,offline_data,offline_object,offline_encode_seconds,offline_solve_seconds,online_updates,online_total_seconds,online_avg_seconds,online_max_seconds,offline_total_seconds,conformance_total_seconds,prefix_timing_count,wall_seconds,experiment,combo,repetition,observation_timeout,observation_timeout_seconds,observation_elapsed_seconds,timeout_update,timeout_stream_position,timeout_component,timeout_event_id,timeout_activity,timeout_event_objects,timeout_component_events,timeout_component_objects,prefix_count,partial_result_saved,completed_stream_units,total_stream_units,completed_online_updates,last_completed_stream_position,error_file
products_020_late_ship_data.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_late_ship_data.json,124,OBSERVATION_TIMEOUT,NOT_RUN,fresh_offline_alignment,0,0,True,0,0,0,0,6.634409700000106,27.937043899999935,,,,,,,,2,68.00412150000011,34.002060750000055,35.689689499999986,,68.00412150000011,2,128.3896459,deviation_scale_extended_online,smt_smt,1,True,60.0,60.014608499999895,3,3,1,2,pick item,2,3,21,2,True,2,23,2,2,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_late_ship_data.error.txt
products_020_priority.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_priority.json,124,OBSERVATION_TIMEOUT,NOT_RUN,fresh_offline_alignment,0,0,True,0,0,0,0,6.5541644999998425,37.136457000000064,,,,,,,,2,84.64207090000036,42.32103545000018,44.811114400000406,,84.64207090000036,2,145.08234600000014,deviation_scale_extended_online,smt_smt,1,True,60.0,60.08818610000026,3,3,1,2,pick item,2,3,21,2,True,2,23,2,2,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_priority.error.txt
products_020_vip.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_vip.json,124,OBSERVATION_TIMEOUT,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,6.483659200000147,25.48857709999993,,,,,,,,1,33.89127150000013,33.89127150000013,33.89127150000013,,33.89127150000013,1,94.32941299999993,deviation_scale_extended_online,smt_smt,1,True,60.0,60.0941014,2,2,1,1,pick item,2,2,21,1,True,1,23,1,1,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_extended_online\smt_smt\run_001\products_020_vip.error.txt
products_001_budget.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_001_budget.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.14807230000002392,0.10846440000000257,,,,,,,,4,1.1561092999999971,0.2890273249999993,0.328838300000001,0,1.1561092999999971,4,1.523978100000022,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_001_cost.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_001_cost.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.14626530000001026,0.12041450000000964,,,,,,,,4,1.1240515000000073,0.2810128750000018,0.33966380000001095,0,1.1240515000000073,4,1.420706899999999,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_001_early_place_data.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_001_early_place_data.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.1514286000000027,0.11469629999999142,,,,,,,,4,1.1629312999999968,0.2907328249999992,0.3407612000000029,0,1.1629312999999968,4,1.418274700000012,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_001_fit.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_001_fit.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,0,0,0,0,0.14931110000000558,0.08949240000001168,,,,,,,,4,1.106640399999975,0.27666009999999375,0.3131102000000112,0,1.106640399999975,4,1.4174718999999811,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_001_late_ship_data.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_001_late_ship_data.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.14760499999999865,0.09152420000000916,,,,,,,,4,1.1160357999999917,0.2790089499999979,0.31134629999999675,0,1.1160357999999917,4,1.4179731000000118,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_001_priority.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_001_priority.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.14763820000001715,0.1058140000000094,,,,,,,,4,1.1379590999999891,0.2844897749999973,0.32662690000000794,0,1.1379590999999891,4,1.4198935000000006,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_001_vip.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_001_vip.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.148026399999992,0.12613170000000196,,,,,,,,4,1.1455080000000066,0.28637700000000166,0.34610870000000205,0,1.1455080000000066,4,1.4189374999999984,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
